restaurant_id;user;title;text;visit_date;score;response
1. Xalet Suis;Bea A;De 10;Solo he estado una vez pero clarísimo tengo que volveré ! Ese dia tardaron bastante en servirnos, pero la espera valió la pena. En este restaurante he comido uno de los platos mas ricos que he probado... sus famosos raviolis de bogabante con salsa trufada! Brutaaaal! Ir a este restaurante es ir a lo seguro! Un clásico de Lleida que bien merece su puesto numero 1! Gracias ;2018-12;5;
1. Xalet Suis;827francescr;Excelente;Fuimos con mi pareja por recomendación, y fue u acierto total. Local pequeño pero muy acojedor. Servicio correcto y cercano. Pero sobre todo destacar la calidad de la comida. Puede parecer un poco caro, pero la calidad de paga. Repetiremos.;2019-03;5;
1. Xalet Suis;12345mac;Clasico;Restaurante de toda la vida.\nCalidad excelente.\nCantidades un poco justas.\nCalidad-precio un poco alto.\nServicio muy bueno.\nHace falta reservar;2019-03;4;
1. Xalet Suis;IOrduna5;Uno de los mejores restaurantes de Lleida;Parada de obligatorio cumplimiento para amantes de la gastronomía. \n\nRestaurante pequeño y acogedor, precio no apto para todos los bolsillos que requiere de cierto paladar para valorar la calidad de la materia prima. Salvadas estas objeciones, es inevitable llegar a la conclusión de que el precio es razonable por servicio, calidad del producto y la atención prestada a los pequeños detalles.\n\nReservar con antelación especialmente en fechas señaladas.;2019-03;5;
1. Xalet Suis;gbrosa;Espectacular;Nos dejamos aconsejar y probamos los raviolis de langosta, exquisitos! El filete al roquefort también buenísimo, todo en su punto y a una temperatura ideal! Un 10!;2019-03;5;
1. Xalet Suis;Vianpatata;Fama merecida;Hacía años que no acudía al Chalet suisse. Volví este mes de enero y no me decepcionó. Tomé unos calamarines, unas croquetas y un carpaccio excelentes. No recuerdo el postre que tomé, pero si que salí satisfecho. El precio no es barato, pero si razonable por servicio y calidad. Volveré. Muy recomendable .Para darse un homenaje de vez en cuando.;2019-01;4;
1. Xalet Suis;nikyd2019;NUESTRO LUGAR FAVORITO !!!;Una vez más tras un duro día semanal, mi mujer y yo pedimos cita para cenar en nuestro lugar favorito de Lleida, sin duda.\nUn lugar acogedor, el calor del acogedor comedor rustico que tanto enamora a ella, estoy encantado con hacerla feliz pero ahora me toca hablar de los platos.\nSón la perfección tanto lo que visualmente se puede ver recien salido de la cocina, como el momento que se mezcla en mi paladar cada uno de los platos que he podido probar.\nLargos momentos y muchos años y por muchos más. Felicitar sin duda a Don Manel, sin su calor no seria lo mismo.;2019-02;5;
1. Xalet Suis;25452176;Gran descubrimiento;Buscando donde comer en un día de visita a Lleida.\nMe encontré con este sitio.\nUn trato amable y cordial por parte del personal.\nEl sitio no es muy grande,\nPero si sus platos y carta.\nMuy buena presentación en los platos.\nY con una cálidad acorde al precio.\nResaltar el arroz con perdiz, con un toque casi de risotto.\nSobre una base de tinta de calamar\nMuy rico.\nEl pan, también merece un elogio\nMe gusto bastante.\nNo es la clásica barra de pan\nQue parece barro.\nMuy correcto el precio que pagué por lo que comi y el trato amable.\nEn mi próxima visita\nEspero repetir.. ;2019-01;4;
1. Xalet Suis;cmatillas;Excente a pesar del paso del tiempo!!;Estuvimos cenando 2 parejas ayer Sabado noche y como siempre todo de PRIMERA!!\nIngredientes, preparación, atención!!\nLa carta es òptima! Diria que es imposible no encontrar algo que no te apetezca.\nLos ingredientes, excelentes y la ejecución de 12 sobre 10.\nHacia tiempo que no pasaba por este Restaurante y me reafirmo, es el nejor Restaurante de Lérida si duda!!\nPrecio depende de lo que pidas perp diria que la media estaria sobre los 50 o 60 euros por persona con vino incluido. (2 btllas Albariño Pago de Señorans) y pistres\nMerece sin duda visitares !!\nEnhorabuena a todo el equipo de Xalet Suis!!;2019-01;5;
1. Xalet Suis;MariaPaBe;Como en casa;Fuimos toda la familia y tanto la comida como el servicio es excelente. Todos los platos son de 10 pero hemos de destacar los raviolis de bogavante y salsa de trufa. Esperamos volver pronto.;2018-12;5;
1. Xalet Suis;antalta;Fantástico Restaurante;Comida y servicio fantástico. Platos trabajados con productos de primera calidad. Y en el servicio correcto somos tanto en el trato como en la atencion;2019-01;4;
1. Xalet Suis;74Patxy74;Muy bien;Local pequeño y un tanto anticuado, pero con una calidad excelente. Es necesario reservar ya que la capacidad no sobrepasará los veinte comensales, los precios son elevados pero con unas raciones adecuadas.\nHay un solo camarero y aún llegando la mayoría de las mesas a la par, este, se multiplica, gran profesional.\n100% recomendable.;2018-12;5;
1. Xalet Suis;990maitep;No es lo que era;Restaurante muy anticuado, según lo que pidas raciones justas y muy caro no es lo que era, restaurante venido a menos, habíamos ido muchas veces pero la última vez, una tomadura de pelo sobre todo un plato de anchoas con tomate, aún estoy buscando las anchoas 17 euros y pico más dos trocitos de pan q lo cobran aparte, una estafa.... No volveremos;2018-12;1;
1. Xalet Suis;Angeles62;Una apuesta segura;Un clásico que se renueva día a día con sus platos más exquisitos con sabor a buena cocina y buen trato de las materias primas.;2018-12;5;
1. Xalet Suis;davidmisco;El mejor restaurante de Lleida;La calidad de la comida impecable y se nota la atención al detalle que ponen en cada plato. Lo mejor de allí sin lugar a dudas, los raviolis de bogavante con salsa de trufa!;2018-12;5;
1. Xalet Suis;Mireiajidi;Buena comida pero....;Restaurante que ofrece buena comida. Bastante pequeño. Complicado comer o cenar si no has reservado. Lo peor y que un restaurante de los caros lo permita, es el olor que sale del baño cada vez que algun cliente va, huele a ambientador de baño.;2018-12;3;
2. Ferreruela, Cuina de la Terra;qp_qp-travel;Celebraciones puntuales;Decidimos hacer carta aunque también había menú. Cogimos una croquetas ESPECTACULARES. Fué unos de los mejores platos de la noche junto con el pulpo. Delicioso y muy tierno. El servicio muy atento y el local reformado con musica en directo, genial. En otra ocasión especial, repetiremos sin duda!!!;2019-11;4;
2. Ferreruela, Cuina de la Terra;federamos;Excelente;Un restaurante muy bonito y una atención muy buena. El menú degustación cumplió con lo que esperabamos y más.;2019-09;5;
2. Ferreruela, Cuina de la Terra;miguelitorl;Espectacular;Restaurante bonito y limpio. Trato del personal muy muy bien. Cocina catalana de la terra pero con un toque espectacular que hace que sus platos esten exquisitos. La crema catalana de postre, una autentica maravilla. El precio ronda los 50€/pax. ;2019-09;5;
2. Ferreruela, Cuina de la Terra;Juan S;Cocina de proximidad y de calidad en un ambiente agradable;Cada día cuesta más venir a Ferreruela, pues suele estar lleno, cosa que ya de por sí lo dice todo sobre la calidad del producto que se sirve en este restaurante. Para mí es un referente en Lleida, producto de proximidad y de calidad bien tratado para que destaque. Ambiente acogedor y agradable y un servicio profesional a la vez que cercano. Buena relación calidad-precio y sin duda un lugar para repetir.;2019-10;5;
2. Ferreruela, Cuina de la Terra;Toni1980lle;Excelente;Sitio muy bueno.con una atencion perfecta y nos pusieron un vino que un pelin caro.pero valio la pena.;2019-10;5;
2. Ferreruela, Cuina de la Terra;joan982;Buena comida;Estuvimos comiendo en Agosto, un local bien situado , facil acceso. Local agradable y servicio atento. Tomamos menu degustacion q proponen y estuvo bien, disfrutamos de la comida, volveremos. Una cosa negativa es q hay un cierto olor no demasiado agradable en el local.;2019-08;4;
2. Ferreruela, Cuina de la Terra;Ulises357;Extraordinario. Talento y profesionalidad, de la mano;Ferreruela es el restaurante que todo el mundo desearía para su ciudad. un equipo joven, dinámico, muy motivado, y con altísima profesionalidad, liderados por Gonzalo, un cocinero con un don especial.;2019-06;5;
2. Ferreruela, Cuina de la Terra;aportando;Lleida #1;Por la calidad de la materia prima, la oportunidad de probar recetas regionales y la elaboración de los platos, es para mí el mejor restaurante de Lleida.\n\nAdemás tiene muy buena relación calidad-precio.\n;2019-09;5;
2. Ferreruela, Cuina de la Terra;Ana p;Cumpleaños;Cenamos muy bien. Buena relación calidad precio. El mejor plató pasta rellena de langostinos. Los postres tambien muy buenos:tradicionales reinventados;2019-08;4;
2. Ferreruela, Cuina de la Terra;516carlesq;Espectacular;Como siempre súper bien. Buen vino, buena comida, realizada con productos de primerísima  calidad. \nNo es barato, pero la relación calidad precio buenísima. Para una pareja, con postres, vino y cafés...y sin cortarse entre 40/50 € p.persona.\nExcelente;2019-07;4;
2. Ferreruela, Cuina de la Terra;aseguratuaventura;ESPECTACULAR;La excelencia de la sencillez de los platos y la exquisitez del trato. Un referente en Lleida. Precio a consonancia, calidad espectacular, platos buenísimos, trato exquisito \n\nAlli lo dejo;2019-03;5;
2. Ferreruela, Cuina de la Terra;xXxaac;Me decepcionó;Hay que decir que vivo cerca del restaurante y llevaba mucho tiempo queriendo ir, ya que lo habia visto por tv en un concurso. Lo primero que llama la atención al entrar, aparte de la decoración rustica y acogedora, es un olor muy desagradable como a desagüe y que te acompaña durante toda la velada...no es algo puntual, ya que como he dicho vivo cerca y a veces alguien al salir y abrir la puerta si en ese momento pasas por ahi se huele, es algo que deberian solucionar porque es bastante asqueroso.\nLa comida, muy adornada verbalmente en la carta, tiene platos buenos como el carpaccio o el canelon, pero platos MUY flojos por el precio que pagas, de media y SIN postre y pasando un poco de sed para no pagar más aguas, hay que contar aprox 40-50€ por persona rapido. ;2019-07;3;
2. Ferreruela, Cuina de la Terra;Daelaija;Steak tartar riquísimo;Guiado por las recomendaciones de aquí he ido a probar el steak tartar y me ha parecido muy rico. Un poco caro para la cantidad de carne (23 € el plato), pero en cualquier caso muy recomendable .\n\nEl trato del personal muy correcto y el local muy acogedor.;2019-07;5;
2. Ferreruela, Cuina de la Terra;Jari L;A new favourite;We had a lunch here right on arrival to Lleida, after four hours flight an two hours' drive. Great welcome, attentive, friendly service and impeccable simple cooking with best, fresh, seasonal ingredients. Everything topped with the best coffee ever in Catalonia, or continental Spain.\nThis is a must to go whenever in Lleida.\n;2019-07;5;
2. Ferreruela, Cuina de la Terra;Ferran67;Producto de primera;"Se trataba de reunión de trabajo. Buscaba opción con buena materia prima, cerca del centro y Ferreruela reúne ambos requisitos. Pedimos entrantes para compartir y de plato principal, pedí un atún que se deshacía en la boca ;tierno y muy bien planchado. ";2019-05;4;
2. Ferreruela, Cuina de la Terra;vickytrip748;Nos decepcionó;Fuimos con grandes expectativas, pero no las cumplió.\nLa comida era bastante básica para el precio que tienen.\nLa atención fantástica.;2019-02;2;
2. Ferreruela, Cuina de la Terra;ireLleida;Amazing dinner!;We went to Ferreruela to celebrate my mum s birthday! We left the restaurant super happy!\nThe food was amazing! The recipes, quality of the ingredients and presentation of the dishes was top! \nThe chef and waitresses were really kind and professional!\n\nWe will surely come back!;2019-07;5;
2. Ferreruela, Cuina de la Terra;XaTais;DEGUSTACIÓN EXCELENTE;Hice una cata con maridaje de vinos y champán. La comida fue excelente junto con los vinos y champán que lo acompañaba. El xef nos iba explicando cada plato y el somelier lo mismo con los vinos.\nFue una experiencia increible y con ganas de repetir.;2018-12;5;
2. Ferreruela, Cuina de la Terra;sadurnia;EXCELENCIA CON LO COTIDIANO;Excelente steak tartar, deliciosas croquetas, magnifica carne. Trato cercano y amable. La mayor parte de lo que ofrecen, se produce a menos de 25 km.;2019-06;5;
2. Ferreruela, Cuina de la Terra;albabebo;Ideal para celebrar;Restaurante ideal para celebrar con pareja, familia o amigos. Servicio muy atento y profesional y la comida un verdadero gustazo para el paladar. Calidad/precio lo vale. De lo milloret de Lleida! ;2019-06;5;
2. Ferreruela, Cuina de la Terra;Jandrumaria;Impresionante;Uno de los mejores steak tartar que hemos comido.El servicio muy atento y amables.Gracias.Volveremos seguro.;2019-06;5;
2. Ferreruela, Cuina de la Terra;TSRE;Buenos productos;Fuimos para una comida familiar, la atención fue excelente, la situación de las mesas perfecta para no molestarte con los vecinos y poder llevar una conversación correctamente. Nos colocaron en la zona del altillo y muy bien\nLa comida muy buena y bien preparada, la terrina d'anec con pera deliciosa, el gazpacho de cereza, tambien muy bueno, compartimos el chessecake de postre. \nLa atención fue perfecta, siempre alli pero sin agobiar.;2019-06;4;
2. Ferreruela, Cuina de la Terra;F50ULjuang;Aunque no es barato, muy recomendable.;Buena comida, con innovación y magnífico servicio. Ambiente muy agradable, con separación de mesas que permiten muy bien la comunicación. ;2019-06;5;
2. Ferreruela, Cuina de la Terra;Javier S;Buena brasa y buena materia prima;"Fin de semana con mi pareja por Lleida donde buscábamos un sitio para cenar bien y tranquilos, tras un día de sube/baja a la Pobla de Segur en el ""Tren dels Llacs"".\n\nAl final, acabé decantándome por Ferreruela pues tras leer las críticas todo parecía indicar que cumpliría mis premisas (cenar bien + tranquilidad) y además lo teníamos muy cerca del hotel.\n\nComo hago de forma habitual en todas mis opiniones, voy a dividirla en tres apartados: la experiencia gastronómica, el servicio recibido y finalmente valoración del local.\n\nCena\n====\nDisponen de un carta relativamente amplia, con platos para compartir, entrantes, segundos (carne/pescado) y postres, sin embargo, la carta de vinos y cavas es algo más justa, pero suficiente desde mi punto de vista.\n\nNosotros nos decantamos por compartir un par de platos y después cada uno pedir su segundo y postre.\n\nPara compartir, pedimos unas croquetas de camarón y gamba con una base de allioli super suave y unas alcahofas, tanto uno como otro, estaban de nota alta: las croquetas muy sabrosas, cremosas y con el sabor de fondo del camarón y las alcachofas también espectaculares con un acompañamiento de cansalada que le daban un toque especial. A estos dos platos, le pondría un 8 sobre 10.\n\nPor lo que respecta a los segundos, yo pedí rape: era un trozo generoso hecho a la brasa (!!como se nota este detalle!!) acompañado con una salsa de romesco (algo subido de vinagre para mi gusto); mi pareja pidió pulpo: también pasado por la brasa, supertierno y con una vinagreta de frutos secos. A estos platos le pongo un 7 sobre 10, quizá sea una nota baja, basicamente porque no tenían mucha elaboración dejando el peso a la buena materia prima.\n\nDe postre, elegimos algo parecido a un ""Suizo"", donde se había sustituido la nata por un suflé de coco y el chocolate era una combinación de dos tipos de chocolate, uno más líquido y otro más consistente y algo helado. El segundo postre fue un ""arroz con leche de coco"" con helado de mango y crujiente de arroz. A estos platos le pongo un 9 sobre 10.\n\nPara beber optamos por un cava Agustí Torello Mata; poco a decir aquí, ya que es una apuesta segura. \n\nNo quisiera acabar esta sección sin mencionar el pan: disfrutarlo con un poquito de aceite virgen que os pondrán en la mesa y una pizca de sal (esto lo tendreis que pedir)!!\n\nPrecio total de dos personas (ver foto): 111,20€\n\nServicio\n========\nMuy bien y rápido; si tengo que poner una pega, sería que nos nos preguntaron de probar el cava antes de servirlo y tampoco dejaron el corcho del cava en la mesa: ambos ""rituales"" son habituales en restaurantes de cierto nivel, que es donde posiciono a Ferreruela. De cualquier forma, lo considero anecdoticos estos hechos.\n\nLocal\n=====\nEl local muy bonito y acogedor; un espacio entre mesas más que suficiente, que evita cualquier agobio o indiscrección. Como llegamos pronto (21.00h) pudimos escoger mesa y optamos por la planta superior: para una cena en pareja, le da un poco más de intimidad.\n\nComo resumen, cenamos muy bien a un precio algo elevado, pero como siempre digo, la calidad, buen servicio y un local cuidado, se paga.";2019-05;4;
2. Ferreruela, Cuina de la Terra;756crisb;Mi restaurante preferido en Lleida!;Actualmente no vivo en Lleida, pero cada vez que voy no me pierdo una visita a Ferreruela, cada plato esta elaborado de manera especial y la materia prima es de muy buena calidad. El trato es estupendo. 100% recomendable;2019-05;5;
2. Ferreruela, Cuina de la Terra;xaviPG57;Experiencia culinaria;No cabe duda que es un hito este restaurante en Lleida, pero nunca había entrado. Fuimos en pareja y la verdad que la atención, el servicio y la comida son muy buenos y el ambiente muy relajado, lejos del bullicio de muchos restaurantes, donde no puedes ni hablar. La carta un poco corta, para lo que estás habituado, pero suficiente e implementada con los platos o especialidades que incorporan diariamente lo cual ya te ciega y no sabes qué saborear. Nos agradaron mucho los platos solicitados y los precios creo que no son excesivos para todo lo que conllevan. En fin que lo recomiendo encarecidamente. Repetiremos.;2019-04;5;
2. Ferreruela, Cuina de la Terra;carlosR8689US;exquisito;Es un restaurante exquisito, su precio calidad es fenomenal, es uno si no el primer restaurante de Lleida capital de referencia por la gran calidad de los productos como su elaboración. El precio no es económico pero vale la pena si deseas calidad a su precio justo. ;2019-02;5;
2. Ferreruela, Cuina de la Terra;sgf93;Mal asesoramiento comida correcta;Mi pareja y yo fuimos a cenar por primera vez para celebrar nuestro aniversario. El local es bonito y desprende un ambiente cálido e íntimo aunque nos pusieron en la peor mesa posible (mesa para 4 comensales a las puertas del local). Queríamos tapear para probar varios platos y teníamos tres claros: croquetas con allioli de azafrán, arroz meloso y alcachofas con huevo poché y cansalada. Sin embargo, teníamos dudas de si después coger un chuletón para mi pareja y una corvina para mi o si coger pulpo para compartir. Preguntemos a la camarera que nos atendió y ella nos recomendó la primera opción (3 platos a compartir y chuletón y corbina) pero que en vez de pedir las 4 croquetas pidiéramos 2.\n\nAtendiendo a sus recomendaciones, nos sirvieron la mitad de croquetas (2) aunque no nos cobraron la mitad y para un solo comensal un chuletón de 900g a 62€/kg que obviamente mi pareja no terminó pero sí paguemos. Al terminar, le comenté a la camarera en tono irónico qué suerte que el chuletón era para una persona a lo que ella nos respondió: una persona, compartir, depende... ¿depende de qué, si le habíamos pedido asesoramiento?\n\nA parte del mal sabor de boca por sentirnos estafados para incrementar la cuenta, la comida es buena pero porque parte de un buen producto en sí y no por la elaboración, creatividad y showcooking.;2019-04;2;
2. Ferreruela, Cuina de la Terra;74carmen2;Un disfrute para el paladar....;Cualquier cosa que pidas, está realmente rica, el pescado, el carpaccio, las alcachofas.\n\nDesde que empiezas, hasta los postres, es un disfrutar de la comida, lo recomiendo, vale la pena.;2019-04;5;
2. Ferreruela, Cuina de la Terra;Gusthor;Siempre responde;Muy buen trato en todas las ocasiones que hemos estado. \nCocina con muy buen gusto.\nGénero de proximidad y de buena calidad.\nSitio de paso obligado.;2019-04;5;
2. Ferreruela, Cuina de la Terra;martagQ5088OC;Hay que ir;El local es muy bonito, el servicio inmejorable y la comida es de gran calidad. Restaurante de mucho nivel. ;2019-04;5;
2. Ferreruela, Cuina de la Terra;sps77;Muy bien;Hay que decir que todo lo que comimos tenía una muy buena calidad y presentación un local agradable y personal atento ;2019-04;5;
2. Ferreruela, Cuina de la Terra;Lluis C;Muy muy bien;Todo perfecto. \nNos dejamos aconsejar y creo que fué muy acertado. \nCompartimos los primeros, alcachofas buenísimas, las croquetas excelentes y la coca de berenjena de mucho nivel. \nDe segundos. El bacalao skrey a la brasa de 10. \nEl conejo impresionante. \nDe postres panacota y trufas todo muy bueno.;2019-04;5;
2. Ferreruela, Cuina de la Terra;oriol1997;Espectacular;Un restaurante maravilloso en todos los sentidos. Una carta con muchos productos de calidad y con un gusto impresionante. El servicio muy bueno y atento en qualquier cosa. El restaurante es muy bonito. \n Lo recomiendo al 100% \n;2019-04;5;
2. Ferreruela, Cuina de la Terra;Bea A;Todo de 10;La comida de este lugar es espectacular, tanto a nivel de calidad como de resentación .\nPor parte del equipo, te sientes super bien atendido. \nSimpre que tenemos que celebrar algo especial vamos!\nMuy biem de precio para la calidad que ofrecen al comensal. \nSiempre volveremoS!;2019-03;5;
2. Ferreruela, Cuina de la Terra;tss31;Sublime;Sin duda un referente en la zona, gran producto, un servicio muy profesional y muy atento. Mesas separadas que te permiten disfrutar sin agobios ni exceso de ruido.\nPara volver ;2019-03;5;
